epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
73,16524,0.49565,0.30889,0.97016,0.67737,0.63241,0.62617,0.38367,1.47092,1.50881,1.90971,0.000205061,0.000205061,0.000205061
74,16757.1,0.50212,0.31289,0.97617,0.69743,0.64487,0.63771,0.39346,1.45276,1.48082,1.8807,0.000197992,0.000197992,0.000197992
75,16976.1,0.49815,0.31204,0.97219,0.68726,0.64209,0.62224,0.3785,1.48642,1.5295,1.90877,0.000190924,0.000190924,0.000190924
76,17209.3,0.4933,0.30634,0.97283,0.68198,0.62283,0.61949,0.3774,1.49031,1.55264,1.90813,0.000183855,0.000183855,0.000183855
77,17427.7,0.48593,0.30532,0.96579,0.70076,0.62017,0.62091,0.37724,1.51822,1.6024,1.94655,0.000176786,0.000176786,0.000176786
78,17657.9,0.4784,0.29952,0.96014,0.72955,0.61832,0.6341,0.39165,1.4696,1.47957,1.93431,0.000169718,0.000169718,0.000169718
79,17876.4,0.47619,0.3007,0.96032,0.71474,0.61461,0.6274,0.38537,1.48355,1.4865,1.93076,0.000162649,0.000162649,0.000162649
80,18106.7,0.47905,0.29839,0.95914,0.70512,0.61496,0.63089,0.38819,1.49234,1.57007,1.93703,0.000155581,0.000155581,0.000155581
81,18325.4,0.47671,0.29877,0.95967,0.70994,0.61983,0.61562,0.36812,1.51978,1.54182,1.98213,0.000148512,0.000148512,0.000148512
82,18553.6,0.46901,0.29357,0.95393,0.73115,0.60522,0.62203,0.37454,1.50188,1.52291,1.95468,0.000141443,0.000141443,0.000141443
83,18773.8,0.46794,0.29251,0.952,0.69947,0.61843,0.60822,0.3656,1.50542,1.51699,1.9725,0.000134375,0.000134375,0.000134375
84,19003.9,0.45974,0.29032,0.94712,0.72742,0.62377,0.62467,0.37571,1.51538,1.46444,2.00349,0.000127306,0.000127306,0.000127306
85,19223.1,0.4494,0.28531,0.93953,0.6848,0.624,0.61434,0.37451,1.51886,1.56169,1.96902,0.000120238,0.000120238,0.000120238
86,19453.3,0.46132,0.28957,0.94741,0.72473,0.61948,0.62708,0.38711,1.48407,1.49669,1.93904,0.000113169,0.000113169,0.000113169
87,19672.1,0.44992,0.28558,0.94127,0.74536,0.60679,0.62995,0.38457,1.49745,1.50294,1.96179,0.0001061,0.0001061,0.0001061
88,19902.3,0.44431,0.28123,0.93734,0.70905,0.63576,0.63471,0.39523,1.47803,1.45021,1.95914,9.90318e-05,9.90318e-05,9.90318e-05
89,20121.3,0.44565,0.28384,0.93652,0.72502,0.62364,0.62799,0.38173,1.51366,1.53172,1.99493,9.19632e-05,9.19632e-05,9.19632e-05
90,20351.7,0.43328,0.27702,0.92727,0.74063,0.61078,0.63403,0.38964,1.49483,1.51866,1.97712,8.48946e-05,8.48946e-05,8.48946e-05
91,20570.5,0.43992,0.27914,0.93497,0.73557,0.60375,0.62428,0.38025,1.5107,1.50061,1.98908,7.7826e-05,7.7826e-05,7.7826e-05
92,20800.9,0.434,0.274,0.93123,0.72546,0.61913,0.62795,0.39033,1.48505,1.51111,1.96687,7.07574e-05,7.07574e-05,7.07574e-05
93,21019.7,0.43007,0.27309,0.92772,0.72841,0.61755,0.63209,0.39049,1.48659,1.52927,1.978,6.36888e-05,6.36888e-05,6.36888e-05
94,21250.1,0.42663,0.27383,0.92651,0.70796,0.61807,0.6194,0.38052,1.50973,1.54695,1.9982,5.66202e-05,5.66202e-05,5.66202e-05
95,21468.9,0.42667,0.27269,0.92758,0.72944,0.60579,0.61986,0.37904,1.53019,1.52849,2.01026,4.95516e-05,4.95516e-05,4.95516e-05
96,21699.3,0.42113,0.26913,0.92277,0.74777,0.60014,0.62592,0.38101,1.52797,1.49308,2.02437,4.2483e-05,4.2483e-05,4.2483e-05
97,21918.2,0.42162,0.27162,0.92509,0.73601,0.6087,0.62452,0.38189,1.51976,1.51402,2.00986,3.54144e-05,3.54144e-05,3.54144e-05
98,22136.7,0.41069,0.26549,0.91941,0.7139,0.61461,0.6208,0.37692,1.53304,1.54294,2.01166,2.83458e-05,2.83458e-05,2.83458e-05
99,22362.8,0.40698,0.26318,0.91308,0.72542,0.61009,0.62195,0.38036,1.5257,1.54126,2.01164,2.12772e-05,2.12772e-05,2.12772e-05
100,22592.9,0.40797,0.26359,0.91418,0.73312,0.60863,0.62422,0.38514,1.5149,1.53182,2.0057,1.42086e-05,1.42086e-05,1.42086e-05
